start,end,pm10,pm2_5,no2,temperature,humidity,wind_speed,pressure,longitude,latitude
2022-01-01 00:00:00,2022-01-01 01:00:00,53.68,40.173682559999996,29.63,3.8,99.0,3.6,1017.7,26.127289,44.444925
2022-01-01 01:00:00,2022-01-01 02:00:00,50.13,37.51689096,22.5,3.9,99.0,7.2,1017.2,26.127289,44.444925
2022-01-01 02:00:00,2022-01-01 03:00:00,38.55,28.850511599999997,23.24,3.8,100.0,7.2,1017.0,26.127289,44.444925
2022-01-01 03:00:00,2022-01-01 04:00:00,32.87,24.599645039999995,25.12,3.9,99.0,7.2,1016.7,26.127289,44.444925
2022-01-01 04:00:00,2022-01-01 05:00:00,33.31,24.92893752,24.12,3.7,98.0,7.2,1016.2,26.127289,44.444925
2022-01-01 05:00:00,2022-01-01 06:00:00,36.34,27.19656528,23.99,2.9,100.0,7.2,1016.2,26.127289,44.444925
2022-01-01 06:00:00,2022-01-01 07:00:00,39.3,29.411805599999997,26.76,3.0,100.0,3.6,1016.8,26.127289,44.444925
2022-01-01 07:00:00,2022-01-01 08:00:00,42.64,31.911434879999998,25.75,3.7,100.0,3.6,1016.8,26.127289,44.444925
2022-01-01 08:00:00,2022-01-01 09:00:00,44.12,33.01905504,18.94,4.3,95.0,7.2,1017.5,26.127289,44.444925
2022-01-01 09:00:00,2022-01-01 10:00:00,44.7,33.4531224,23.2,6.6,87.0,3.6,1017.2,26.127289,44.444925
2022-01-01 10:00:00,2022-01-01 11:00:00,48.89,36.588884879999995,26.6,8.4,82.0,7.2,1016.8,26.127289,44.444925
2022-01-01 12:00:00,2022-01-01 13:00:00,39.85,29.8234212,27.09,9.9,82.0,3.6,1016.8,26.127289,44.444925
2022-01-01 13:00:00,2022-01-01 14:00:00,35.51,26.575399919999995,25.67,10.6,83.0,7.2,1016.5,26.127289,44.444925
2022-01-01 14:00:00,2022-01-01 15:00:00,36.19,27.084306479999995,29.08,12.0,81.0,7.2,1016.7,26.127289,44.444925
2022-01-01 15:00:00,2022-01-01 16:00:00,30.22,22.616406239999996,40.93,10.4,89.0,3.6,1017.3,26.127289,44.444925
2022-01-01 16:00:00,2022-01-01 17:00:00,28.36,21.22439712,52.22,8.6,95.0,3.6,1017.7,26.127289,44.444925
2022-01-01 17:00:00,2022-01-01 18:00:00,36.63,27.41359896,64.24,7.1,99.0,11.9,1018.3,26.127289,44.444925
2022-01-01 18:00:00,2022-01-01 19:00:00,50.91,38.10063672,75.74,7.2,100.0,3.6,1018.8,26.127289,44.444925
2022-01-01 19:00:00,2022-01-01 20:00:00,63.24,47.32831008,72.21,7.6,100.0,3.6,1019.4,26.127289,44.444925
2022-01-01 20:00:00,2022-01-01 21:00:00,76.14,56.98256687999999,65.32,6.9,100.0,3.6,1019.8,26.127289,44.444925
2022-01-01 21:00:00,2022-01-01 22:00:00,99.97,74.81674824,65.29,6.1,100.0,3.6,1020.3,26.127289,44.444925
2022-01-01 22:00:00,2022-01-01 23:00:00,92.44,69.18135647999999,54.26,5.9,99.0,7.2,1020.7,26.127289,44.444925
2022-01-01 23:00:00,2022-01-02 00:00:00,70.33,52.63440935999999,44.75,5.4,100.0,3.6,1020.9,26.127289,44.444925
2022-01-02 00:00:00,2022-01-02 01:00:00,49.69,37.18759848,35.06,4.8,100.0,7.2,1021.3,26.127289,44.444925
2022-01-02 01:00:00,2022-01-02 02:00:00,13.41,10.035936719999999,22.63,3.6,100.0,3.6,1021.8,26.127289,44.444925
2022-01-02 02:00:00,2022-01-02 03:00:00,11.0,8.232312,21.19,2.9,100.0,3.6,1021.8,26.127289,44.444925
2022-01-02 03:00:00,2022-01-02 04:00:00,12.17,9.10793064,19.33,2.7,100.0,3.6,1022.1,26.127289,44.444925
2022-01-02 04:00:00,2022-01-02 05:00:00,11.46,8.57657232,24.7,2.2,100.0,3.6,1022.7,26.127289,44.444925
2022-01-02 05:00:00,2022-01-02 06:00:00,16.25,12.16137,31.84,2.1,99.0,5.0,1023.4,26.127289,44.444925
2022-01-02 06:00:00,2022-01-02 07:00:00,19.15,14.331706799999997,33.52,1.6,100.0,3.6,1024.3,26.127289,44.444925
2022-01-02 07:00:00,2022-01-02 08:00:00,14.67,10.978910639999999,27.42,1.1,100.0,3.6,1025.4,26.127289,44.444925
2022-01-02 08:00:00,2022-01-02 09:00:00,10.18,7.618630559999999,28.64,2.6,100.0,3.6,1025.8,26.127289,44.444925
2022-01-02 09:00:00,2022-01-02 10:00:00,7.03,5.26119576,22.97,5.8,100.0,7.2,1026.0,26.127289,44.444925
2022-01-02 10:00:00,2022-01-02 11:00:00,6.94,5.1938404799999995,20.14,8.1,82.0,7.2,1026.0,26.127289,44.444925
2022-01-02 11:00:00,2022-01-02 12:00:00,13.18,9.863806559999999,24.47,7.5,82.0,7.2,1025.9,26.127289,44.444925
2022-01-02 13:00:00,2022-01-02 14:00:00,11.27,8.43437784,39.79,8.9,72.0,3.6,1024.7,26.127289,44.444925
2022-01-02 14:00:00,2022-01-02 15:00:00,14.03,10.499939759999998,37.88,8.5,74.0,3.6,1024.4,26.127289,44.444925
