start,end,pm10,no2,latitude,longitude
2021-12-31 23:00:00,2022-01-01 00:00:00,58.79,25.78,44.444925,26.127289
2022-01-01 00:00:00,2022-01-01 01:00:00,53.68,29.63,44.444925,26.127289
2022-01-01 01:00:00,2022-01-01 02:00:00,50.13,22.5,44.444925,26.127289
2022-01-01 02:00:00,2022-01-01 03:00:00,38.55,23.24,44.444925,26.127289
2022-01-01 03:00:00,2022-01-01 04:00:00,32.87,25.12,44.444925,26.127289
2022-01-01 04:00:00,2022-01-01 05:00:00,33.31,24.12,44.444925,26.127289
2022-01-01 05:00:00,2022-01-01 06:00:00,36.34,23.99,44.444925,26.127289
2022-01-01 06:00:00,2022-01-01 07:00:00,39.3,26.76,44.444925,26.127289
2022-01-01 07:00:00,2022-01-01 08:00:00,42.64,25.75,44.444925,26.127289
2022-01-01 08:00:00,2022-01-01 09:00:00,44.12,18.94,44.444925,26.127289
2022-01-01 09:00:00,2022-01-01 10:00:00,44.7,23.2,44.444925,26.127289
2022-01-01 10:00:00,2022-01-01 11:00:00,48.89,26.6,44.444925,26.127289
2022-01-01 12:00:00,2022-01-01 13:00:00,39.85,27.09,44.444925,26.127289
2022-01-01 13:00:00,2022-01-01 14:00:00,35.51,25.67,44.444925,26.127289
2022-01-01 14:00:00,2022-01-01 15:00:00,36.19,29.08,44.444925,26.127289
2022-01-01 15:00:00,2022-01-01 16:00:00,30.22,40.93,44.444925,26.127289
2022-01-01 16:00:00,2022-01-01 17:00:00,28.36,52.22,44.444925,26.127289
2022-01-01 17:00:00,2022-01-01 18:00:00,36.63,64.24,44.444925,26.127289
2022-01-01 18:00:00,2022-01-01 19:00:00,50.91,75.74,44.444925,26.127289
2022-01-01 19:00:00,2022-01-01 20:00:00,63.24,72.21,44.444925,26.127289
2022-01-01 20:00:00,2022-01-01 21:00:00,76.14,65.32,44.444925,26.127289
2022-01-01 21:00:00,2022-01-01 22:00:00,99.97,65.29,44.444925,26.127289
2022-01-01 22:00:00,2022-01-01 23:00:00,92.44,54.26,44.444925,26.127289
2022-01-01 23:00:00,2022-01-02 00:00:00,70.33,44.75,44.444925,26.127289
2022-01-02 00:00:00,2022-01-02 01:00:00,49.69,35.06,44.444925,26.127289
2022-01-02 01:00:00,2022-01-02 02:00:00,13.41,22.63,44.444925,26.127289
2022-01-02 02:00:00,2022-01-02 03:00:00,11.0,21.19,44.444925,26.127289
2022-01-02 03:00:00,2022-01-02 04:00:00,12.17,19.33,44.444925,26.127289
2022-01-02 04:00:00,2022-01-02 05:00:00,11.46,24.7,44.444925,26.127289
2022-01-02 05:00:00,2022-01-02 06:00:00,16.25,31.84,44.444925,26.127289
2022-01-02 06:00:00,2022-01-02 07:00:00,19.15,33.52,44.444925,26.127289
2022-01-02 07:00:00,2022-01-02 08:00:00,14.67,27.42,44.444925,26.127289
2022-01-02 08:00:00,2022-01-02 09:00:00,10.18,28.64,44.444925,26.127289
2022-01-02 09:00:00,2022-01-02 10:00:00,7.03,22.97,44.444925,26.127289
2022-01-02 10:00:00,2022-01-02 11:00:00,6.94,20.14,44.444925,26.127289
2022-01-02 11:00:00,2022-01-02 12:00:00,13.18,24.47,44.444925,26.127289
2022-01-02 13:00:00,2022-01-02 14:00:00,11.27,39.79,44.444925,26.127289
2022-01-02 14:00:00,2022-01-02 15:00:00,14.03,37.88,44.444925,26.127289
2022-01-02 15:00:00,2022-01-02 16:00:00,10.59,43.83,44.444925,26.127289
2022-01-02 16:00:00,2022-01-02 17:00:00,15.28,47.58,44.444925,26.127289
2022-01-02 17:00:00,2022-01-02 18:00:00,18.36,50.47,44.444925,26.127289
2022-01-02 18:00:00,2022-01-02 19:00:00,20.96,35.95,44.444925,26.127289
2022-01-02 19:00:00,2022-01-02 20:00:00,26.89,47.07,44.444925,26.127289
2022-01-02 20:00:00,2022-01-02 21:00:00,34.01,54.03,44.444925,26.127289
2022-01-02 21:00:00,2022-01-02 22:00:00,28.16,48.21,44.444925,26.127289
2022-01-02 22:00:00,2022-01-02 23:00:00,37.86,36.15,44.444925,26.127289
2022-01-02 23:00:00,2022-01-03 00:00:00,33.63,19.64,44.444925,26.127289
2022-01-03 00:00:00,2022-01-03 01:00:00,19.02,12.02,44.444925,26.127289
2022-01-03 01:00:00,2022-01-03 02:00:00,15.32,11.93,44.444925,26.127289
