start,end,pm10,pm2_5,no2,latitude,longitude
2022-01-02 00:00:00,2022-01-02 01:00:00,46.48,42.36,30.2,44.4264,26.1406
2022-01-02 01:00:00,2022-01-02 02:00:00,33.5,30.73,18.84,44.4264,26.1406
2022-01-02 02:00:00,2022-01-02 03:00:00,19.34,17.39,16.96,44.4264,26.1406
2022-01-02 03:00:00,2022-01-02 04:00:00,14.99,12.92,14.68,44.4264,26.1406
2022-01-02 04:00:00,2022-01-02 05:00:00,16.07,13.79,17.5,44.4264,26.1406
2022-01-02 05:00:00,2022-01-02 06:00:00,18.31,15.59,29.27,44.4264,26.1406
2022-01-02 06:00:00,2022-01-02 07:00:00,20.72,17.65,29.78,44.4264,26.1406
2022-01-02 07:00:00,2022-01-02 08:00:00,22.32,19.13,29.18,44.4264,26.1406
2022-01-02 08:00:00,2022-01-02 09:00:00,17.46,14.33,19.88,44.4264,26.1406
2022-01-02 09:00:00,2022-01-02 10:00:00,12.01,10.13,17.09,44.4264,26.1406
2022-01-02 10:00:00,2022-01-02 11:00:00,15.96,13.99,11.3,44.4264,26.1406
2022-01-02 11:00:00,2022-01-02 12:00:00,17.17,13.53,13.83,44.4264,26.1406
2022-01-02 12:00:00,2022-01-02 13:00:00,18.77,14.09,18.77,44.4264,26.1406
2022-01-02 13:00:00,2022-01-02 14:00:00,19.99,13.09,19.55,44.4264,26.1406
2022-01-02 14:00:00,2022-01-02 15:00:00,19.28,10.73,24.51,44.4264,26.1406
2022-01-02 15:00:00,2022-01-02 16:00:00,21.31,12.68,27.21,44.4264,26.1406
2022-01-02 16:00:00,2022-01-02 17:00:00,21.81,13.04,27.01,44.4264,26.1406
2022-01-02 17:00:00,2022-01-02 18:00:00,19.84,13.6,25.88,44.4264,26.1406
2022-01-02 18:00:00,2022-01-02 19:00:00,18.23,15.16,21.54,44.4264,26.1406
2022-01-02 19:00:00,2022-01-02 20:00:00,18.2,15.52,19.43,44.4264,26.1406
2022-01-02 20:00:00,2022-01-02 21:00:00,22.01,20.15,28.42,44.4264,26.1406
2022-01-02 21:00:00,2022-01-02 22:00:00,22.11,18.26,34.8,44.4264,26.1406
2022-01-02 22:00:00,2022-01-02 23:00:00,21.76,17.34,14.47,44.4264,26.1406
2022-01-02 23:00:00,2022-01-03 00:00:00,19.37,14.88,10.2,44.4264,26.1406
2022-01-03 01:00:00,2022-01-03 02:00:00,12.33,9.14,8.72,44.4264,26.1406
2022-01-03 02:00:00,2022-01-03 03:00:00,9.21,7.41,8.01,44.4264,26.1406
2022-01-03 03:00:00,2022-01-03 04:00:00,8.8,6.69,7.08,44.4264,26.1406
2022-01-03 04:00:00,2022-01-03 05:00:00,12.74,10.63,8.18,44.4264,26.1406
2022-01-03 05:00:00,2022-01-03 06:00:00,12.34,10.37,11.81,44.4264,26.1406
2022-01-03 06:00:00,2022-01-03 07:00:00,10.87,8.33,15.66,44.4264,26.1406
2022-01-03 07:00:00,2022-01-03 08:00:00,13.17,10.0,19.13,44.4264,26.1406
2022-01-03 08:00:00,2022-01-03 09:00:00,14.43,10.94,15.09,44.4264,26.1406
2022-01-03 09:00:00,2022-01-03 10:00:00,13.04,9.76,13.77,44.4264,26.1406
2022-01-03 10:00:00,2022-01-03 11:00:00,16.73,13.73,12.03,44.4264,26.1406
2022-01-03 11:00:00,2022-01-03 12:00:00,20.44,18.26,14.2,44.4264,26.1406
2022-01-03 12:00:00,2022-01-03 13:00:00,19.16,15.66,14.3,44.4264,26.1406
2022-01-03 13:00:00,2022-01-03 14:00:00,25.07,20.39,14.37,44.4264,26.1406
2022-01-03 14:00:00,2022-01-03 15:00:00,20.98,15.9,21.57,44.4264,26.1406
2022-01-03 15:00:00,2022-01-03 16:00:00,21.7,15.03,28.13,44.4264,26.1406
2022-01-03 16:00:00,2022-01-03 17:00:00,23.79,16.41,35.67,44.4264,26.1406
2022-01-03 17:00:00,2022-01-03 18:00:00,24.16,16.48,20.05,44.4264,26.1406
2022-01-03 18:00:00,2022-01-03 19:00:00,17.71,11.32,18.56,44.4264,26.1406
2022-01-03 19:00:00,2022-01-03 20:00:00,15.01,9.45,15.68,44.4264,26.1406
2022-01-03 20:00:00,2022-01-03 21:00:00,11.84,7.65,13.75,44.4264,26.1406
2022-01-03 21:00:00,2022-01-03 22:00:00,8.53,6.09,10.65,44.4264,26.1406
2022-01-03 22:00:00,2022-01-03 23:00:00,7.49,3.31,6.5,44.4264,26.1406
2022-01-03 23:00:00,2022-01-04 00:00:00,7.97,4.88,11.43,44.4264,26.1406
2022-01-04 00:00:00,2022-01-04 01:00:00,9.19,6.6,10.01,44.4264,26.1406
2022-01-04 02:00:00,2022-01-04 03:00:00,11.99,10.28,12.27,44.4264,26.1406
2022-01-04 03:00:00,2022-01-04 04:00:00,10.52,9.9,14.4,44.4264,26.1406
2022-01-04 04:00:00,2022-01-04 05:00:00,11.84,9.47,27.85,44.4264,26.1406
2022-01-04 05:00:00,2022-01-04 06:00:00,15.77,9.99,41.28,44.4264,26.1406
2022-01-04 06:00:00,2022-01-04 07:00:00,23.41,11.75,44.63,44.4264,26.1406
2022-01-04 07:00:00,2022-01-04 08:00:00,21.17,12.12,35.12,44.4264,26.1406
2022-01-04 08:00:00,2022-01-04 09:00:00,20.05,11.36,35.2,44.4264,26.1406
2022-01-04 09:00:00,2022-01-04 10:00:00,33.99,17.3,31.4,44.4264,26.1406
2022-01-04 10:00:00,2022-01-04 11:00:00,31.3,20.01,17.14,44.4264,26.1406
2022-01-04 11:00:00,2022-01-04 12:00:00,23.49,16.19,12.79,44.4264,26.1406
2022-01-04 12:00:00,2022-01-04 13:00:00,22.57,16.11,12.05,44.4264,26.1406
2022-01-04 13:00:00,2022-01-04 14:00:00,22.48,13.89,12.57,44.4264,26.1406
2022-01-04 14:00:00,2022-01-04 15:00:00,20.07,13.18,17.46,44.4264,26.1406
