start,temperature,humidity,wind_speed,pressure
2025-05-24 00:00:00,16.2,97.0,7.6,1010.3
2025-05-24 01:00:00,15.3,96.0,5.8,1010.4
2025-05-24 02:00:00,14.8,98.0,5.4,1010.2
2025-05-24 03:00:00,14.7,97.0,7.9,1010.5
2025-05-24 04:00:00,15.7,93.0,11.2,1010.9
2025-05-24 05:00:00,17.0,88.0,16.2,1011.3
2025-05-24 06:00:00,18.2,81.0,12.2,1011.4
2025-05-24 07:00:00,19.9,71.0,12.2,1011.7
2025-05-24 08:00:00,21.2,63.0,11.2,1011.7
2025-05-24 09:00:00,22.2,57.0,10.1,1011.8
2025-05-24 10:00:00,22.8,52.0,14.8,1011.7
2025-05-24 11:00:00,21.6,54.0,14.4,1011.9
2025-05-24 12:00:00,21.3,53.0,16.6,1011.6
2025-05-24 13:00:00,20.9,52.0,17.3,1011.7
2025-05-24 14:00:00,19.5,56.0,15.1,1011.8
2025-05-24 15:00:00,18.7,61.0,14.8,1012.1
2025-05-24 16:00:00,18.1,63.0,12.6,1011.5
2025-05-24 17:00:00,17.1,69.0,10.8,1011.8
2025-05-24 18:00:00,16.0,78.0,9.0,1012.0
2025-05-24 19:00:00,15.2,90.0,10.8,1012.6
2025-05-24 20:00:00,14.7,93.0,7.6,1012.2
2025-05-24 21:00:00,13.9,95.0,9.0,1012.3
2025-05-24 22:00:00,13.6,96.0,10.1,1012.0
2025-05-24 23:00:00,13.6,96.0,10.4,1011.7
